*****************************
Basic coeficients
*****************************
Alpha, Cd
Alpha, DeltaFlap
            ,   -20.00    ,   -15.00    ,   -10.00    ,   -5.000    ,     .000    ,    5.000    ,    10.00    ,    13.00    ,    16.00    
  -16.00    ,    .2388E-01,    .2227E-01,    .1429E-01,    .6299E-02,     .000    ,   -.4601E-02,   -.7504E-02,   -.8376E-02,   -.8690E-02
  -8.000    ,    .1608E-01,    .1487E-01,    .9078E-02,    .3690E-02,     .000    ,   -.1992E-02,   -.2287E-02,   -.1729E-02,   -.9950E-03
  -6.000    ,    .1436E-01,    .1324E-01,    .7929E-02,    .3116E-02,     .000    ,   -.1418E-02,   -.1138E-02,   -.2647E-03,    .6997E-03
  -4.000    ,    .1268E-01,    .1165E-01,    .6801E-02,    .2552E-02,     .000    ,   -.8540E-03,   -.1048E-04,    .1172E-02,    .2363E-02
  -2.000    ,    .1101E-01,    .1006E-01,    .5684E-02,    .1993E-02,     .000    ,   -.2958E-03,    .1106E-02,    .2595E-02,    .4010E-02
    .000    ,    .9374E-02,    .8515E-02,    .4592E-02,    .1447E-02,     .000    ,    .2504E-03,    .2198E-02,    .3987E-02,    .5622E-02
   2.000    ,    .7790E-02,    .7013E-02,    .3532E-02,    .9171E-03,     .000    ,    .7805E-03,    .3259E-02,    .5337E-02,    .7185E-02
   4.000    ,    .6248E-02,    .5552E-02,    .2501E-02,    .4016E-03,     .000    ,    .1296E-02,    .4290E-02,    .6651E-02,    .8706E-02
   8.000    ,    .3194E-02,    .2656E-02,    .4573E-03,   -.6201E-03,     .000    ,    .2318E-02,    .6333E-02,    .9255E-02,    .1172E-01
   9.000    ,    .2372E-02,    .1876E-02,   -.9298E-04,   -.8953E-03,     .000    ,    .2593E-02,    .6883E-02,    .9956E-02,    .1253E-01
   10.00    ,    .1520E-02,    .1069E-02,   -.6625E-03,   -.1180E-02,     .000    ,    .2878E-02,    .7453E-02,    .1068E-01,    .1337E-01
   12.00    ,   -.4587E-03,   -.8078E-03,   -.1987E-02,   -.1842E-02,     .000    ,    .3540E-02,    .8777E-02,    .1237E-01,    .1533E-01
   14.00    ,   -.2807E-02,   -.3035E-02,   -.3558E-02,   -.2628E-02,     .000    ,    .4325E-02,    .1035E-01,    .1437E-01,    .1764E-01
   16.00    ,   -.5881E-02,   -.5949E-02,   -.5614E-02,   -.3656E-02,     .000    ,    .5353E-02,    .1240E-01,    .1699E-01,    .2068E-01
   18.00    ,   -.9198E-02,   -.9094E-02,   -.7833E-02,   -.4765E-02,     .000    ,    .6463E-02,    .1462E-01,    .1982E-01,    .2395E-01
   19.00    ,   -.1098E-01,   -.1079E-01,   -.9027E-02,   -.5362E-02,     .000    ,    .7060E-02,    .1582E-01,    .2134E-01,    .2571E-01
   20.00    ,   -.1252E-01,   -.1224E-01,   -.1005E-01,   -.5876E-02,     .000    ,    .7573E-02,    .1684E-01,    .2265E-01,    .2722E-01
   21.00    ,   -.1378E-01,   -.1344E-01,   -.1090E-01,   -.6300E-02,     .000    ,    .7997E-02,    .1769E-01,    .2373E-01,    .2848E-01
   22.00    ,   -.1540E-01,   -.1497E-01,   -.1198E-01,   -.6839E-02,     .000    ,    .8537E-02,    .1877E-01,    .2510E-01,    .3007E-01
   24.00    ,   -.1821E-01,   -.1764E-01,   -.1386E-01,   -.7779E-02,     .000    ,    .9476E-02,    .2065E-01,    .2750E-01,    .3284E-01

Single slotted flaps
DeltaFlap, CL
    .000    ,     .000    
   5.000    ,    .8027E-01
   10.00    ,    .1603    
   15.00    ,    .2360    
   20.00    ,    .3088    
   25.00    ,    .3778    
   30.00    ,    .4337    
   35.00    ,    .4758    
   40.00    ,    .5045    

Single slotted flaps
DeltaFlap, Cm
    .000    ,     .000    
   5.000    ,   -.1925E-01
   10.00    ,   -.3989E-01
   15.00    ,   -.5873E-01
   20.00    ,   -.7960E-01
   25.00    ,   -.9739E-01
   30.00    ,   -.1118    
   35.00    ,   -.1270    
   40.00    ,   -.1346    

Cd_Flaps for Single slotted flaps
Alpha, DeltaFlap
            ,     .000    ,    5.000    ,    10.00    ,    15.00    ,    20.00    ,    25.00    ,    30.00    ,    35.00    ,    40.00    
  -16.00    ,     .000    ,   -.9089E-02,   -.1715E-01,   -.2386E-01,   -.2946E-01,   -.3401E-01,   -.3715E-01,   -.3919E-01,   -.4043E-01
  -8.000    ,     .000    ,   -.4336E-02,   -.7658E-02,   -.9880E-02,   -.1117E-01,   -.1163E-01,   -.1146E-01,   -.1101E-01,   -.1054E-01
  -6.000    ,     .000    ,   -.3147E-02,   -.5285E-02,   -.6386E-02,   -.6600E-02,   -.6040E-02,   -.5041E-02,   -.3963E-02,   -.3070E-02
  -4.000    ,     .000    ,   -.1959E-02,   -.2911E-02,   -.2891E-02,   -.2029E-02,   -.4467E-03,    .1380E-02,    .3084E-02,    .4402E-02
  -2.000    ,     .000    ,   -.7708E-03,   -.5377E-03,    .6034E-03,    .2543E-02,    .5147E-02,    .7801E-02,    .1013E-01,    .1187E-01
    .000    ,     .000    ,    .4175E-03,    .1836E-02,    .4098E-02,    .7115E-02,    .1074E-01,    .1422E-01,    .1718E-01,    .1935E-01
   2.000    ,     .000    ,    .1606E-02,    .4209E-02,    .7592E-02,    .1169E-01,    .1633E-01,    .2064E-01,    .2422E-01,    .2682E-01
   4.000    ,     .000    ,    .2794E-02,    .6583E-02,    .1109E-01,    .1626E-01,    .2193E-01,    .2706E-01,    .3127E-01,    .3429E-01
   8.000    ,     .000    ,    .5171E-02,    .1133E-01,    .1808E-01,    .2540E-01,    .3311E-01,    .3991E-01,    .4536E-01,    .4923E-01
   9.000    ,     .000    ,    .5765E-02,    .1252E-01,    .1982E-01,    .2769E-01,    .3591E-01,    .4312E-01,    .4888E-01,    .5297E-01
   10.00    ,     .000    ,    .6359E-02,    .1370E-01,    .2157E-01,    .2997E-01,    .3871E-01,    .4633E-01,    .5241E-01,    .5670E-01
   12.00    ,     .000    ,    .7547E-02,    .1608E-01,    .2506E-01,    .3454E-01,    .4430E-01,    .5275E-01,    .5945E-01,    .6418E-01
   14.00    ,     .000    ,    .8736E-02,    .1845E-01,    .2856E-01,    .3912E-01,    .4989E-01,    .5917E-01,    .6650E-01,    .7165E-01
   16.00    ,     .000    ,    .9924E-02,    .2082E-01,    .3205E-01,    .4369E-01,    .5549E-01,    .6559E-01,    .7355E-01,    .7912E-01
   18.00    ,     .000    ,    .1111E-01,    .2320E-01,    .3555E-01,    .4826E-01,    .6108E-01,    .7201E-01,    .8059E-01,    .8659E-01
   19.00    ,     .000    ,    .1171E-01,    .2438E-01,    .3730E-01,    .5054E-01,    .6388E-01,    .7522E-01,    .8412E-01,    .9033E-01
   20.00    ,     .000    ,    .1230E-01,    .2557E-01,    .3904E-01,    .5283E-01,    .6667E-01,    .7843E-01,    .8764E-01,    .9406E-01
   21.00    ,     .000    ,    .1289E-01,    .2676E-01,    .4079E-01,    .5512E-01,    .6947E-01,    .8164E-01,    .9116E-01,    .9780E-01
   22.00    ,     .000    ,    .1349E-01,    .2794E-01,    .4254E-01,    .5740E-01,    .7227E-01,    .8485E-01,    .9468E-01,    .1015    
   24.00    ,     .000    ,    .1468E-01,    .3032E-01,    .4603E-01,    .6197E-01,    .7786E-01,    .9127E-01,    .1017    ,    .1090    

*****************************
Aileron terms
*****************************
CN_Ail for Plain flap aileron
Alpha, DeltaAil
            ,   -64.00    ,   -40.00    ,   -20.00    ,   -10.00    ,     .000    ,    10.00    ,    20.00    ,    40.00    ,    64.00    
  -16.00    ,   -.6748E-02,   -.5657E-02,   -.3619E-02,   -.1809E-02,     .000    ,    .1809E-02,    .3619E-02,    .5657E-02,    .6748E-02
  -8.000    ,   -.3054E-02,   -.2560E-02,   -.1638E-02,   -.8189E-03,     .000    ,    .8189E-03,    .1638E-02,    .2560E-02,    .3054E-02
  -6.000    ,   -.1954E-02,   -.1638E-02,   -.1048E-02,   -.5238E-03,     .000    ,    .5238E-03,    .1048E-02,    .1638E-02,    .1954E-02
  -4.000    ,   -.8706E-03,   -.7299E-03,   -.4669E-03,   -.2334E-03,     .000    ,    .2334E-03,    .4669E-03,    .7299E-03,    .8706E-03
  -2.000    ,    .1869E-03,    .1567E-03,    .1002E-03,    .5012E-04,     .000    ,   -.5012E-04,   -.1002E-03,   -.1567E-03,   -.1869E-03
    .000    ,    .1254E-02,    .1051E-02,    .6723E-03,    .3361E-03,     .000    ,   -.3361E-03,   -.6723E-03,   -.1051E-02,   -.1254E-02
   2.000    ,    .2343E-02,    .1964E-02,    .1257E-02,    .6283E-03,     .000    ,   -.6283E-03,   -.1257E-02,   -.1964E-02,   -.2343E-02
   4.000    ,    .3447E-02,    .2889E-02,    .1848E-02,    .9241E-03,     .000    ,   -.9241E-03,   -.1848E-02,   -.2889E-02,   -.3447E-02
   8.000    ,    .5569E-02,    .4668E-02,    .2986E-02,    .1493E-02,     .000    ,   -.1493E-02,   -.2986E-02,   -.4668E-02,   -.5569E-02
   9.000    ,    .5983E-02,    .5015E-02,    .3208E-02,    .1604E-02,     .000    ,   -.1604E-02,   -.3208E-02,   -.5015E-02,   -.5983E-02
   10.00    ,    .6349E-02,    .5322E-02,    .3404E-02,    .1702E-02,     .000    ,   -.1702E-02,   -.3404E-02,   -.5322E-02,   -.6349E-02
   12.00    ,    .6914E-02,    .5796E-02,    .3707E-02,    .1854E-02,     .000    ,   -.1854E-02,   -.3707E-02,   -.5796E-02,   -.6914E-02
   14.00    ,    .7244E-02,    .6073E-02,    .3885E-02,    .1942E-02,     .000    ,   -.1942E-02,   -.3885E-02,   -.6073E-02,   -.7244E-02
   16.00    ,    .6493E-02,    .5443E-02,    .3482E-02,    .1741E-02,     .000    ,   -.1741E-02,   -.3482E-02,   -.5443E-02,   -.6493E-02
   18.00    ,    .5383E-02,    .4512E-02,    .2886E-02,    .1443E-02,     .000    ,   -.1443E-02,   -.2886E-02,   -.4512E-02,   -.5383E-02
   19.00    ,    .4911E-02,    .4117E-02,    .2633E-02,    .1317E-02,     .000    ,   -.1317E-02,   -.2633E-02,   -.4117E-02,   -.4911E-02
   20.00    ,    .4606E-02,    .3861E-02,    .2470E-02,    .1235E-02,     .000    ,   -.1235E-02,   -.2470E-02,   -.3861E-02,   -.4606E-02
   21.00    ,    .4344E-02,    .3641E-02,    .2329E-02,    .1165E-02,     .000    ,   -.1165E-02,   -.2329E-02,   -.3641E-02,   -.4344E-02
   22.00    ,    .4047E-02,    .3393E-02,    .2170E-02,    .1085E-02,     .000    ,   -.1085E-02,   -.2170E-02,   -.3393E-02,   -.4047E-02
   24.00    ,    .3809E-02,    .3193E-02,    .2043E-02,    .1021E-02,     .000    ,   -.1021E-02,   -.2043E-02,   -.3193E-02,   -.3809E-02

Plain flap aileron
DeltaAil, Cl
  -64.00    ,   -.6873E-01
  -40.00    ,   -.5761E-01
  -20.00    ,   -.3686E-01
  -10.00    ,   -.1843E-01
    .000    ,     .000    
   10.00    ,    .1843E-01
   20.00    ,    .3686E-01
   40.00    ,    .5761E-01
   64.00    ,    .6873E-01

*****************************
Elevator terms
*****************************
Cd_Elev
Alpha, DeltaElev
            ,   -20.00    ,   -15.00    ,   -10.00    ,   -5.000    ,     .000    ,    5.000    ,    10.00    ,    13.00    ,    16.00    
  -16.00    ,    .2388E-01,    .2227E-01,    .1429E-01,    .6299E-02,   -.1089E-04,   -.4601E-02,   -.7504E-02,   -.8376E-02,   -.8690E-02
  -8.000    ,    .1608E-01,    .1487E-01,    .9078E-02,    .3690E-02,   -.5679E-05,   -.1992E-02,   -.2287E-02,   -.1729E-02,   -.9950E-03
